Date,Headline,Sentiment,Impact,Source
2020-01-01,ADANIPORTS major event 1,Neutral,4,Moneycontrol
2020-01-08,ADANIPORTS major event 2,Positive,10,Bloomberg
2020-01-15,ADANIPORTS major event 3,Neutral,3,Reuters
2020-01-22,ADANIPORTS major event 4,Positive,10,Bloomberg
2020-01-29,ADANIPORTS major event 5,Neutral,1,Economic Times
2020-02-05,ADANIPORTS major event 6,Negative,3,Reuters
2020-02-12,ADANIPORTS major event 7,Negative,3,Reuters
2020-02-19,ADANIPORTS major event 8,Neutral,9,Reuters
2020-02-26,ADANIPORTS major event 9,Positive,5,Economic Times
2020-03-04,ADANIPORTS major event 10,Neutral,3,Reuters
2020-03-11,ADANIPORTS major event 11,Neutral,2,Economic Times
2020-03-18,ADANIPORTS major event 12,Neutral,3,Moneycontrol
2020-03-25,ADANIPORTS major event 13,Negative,9,Reuters
2020-04-01,ADANIPORTS major event 14,Negative,5,Economic Times
2020-04-08,ADANIPORTS major event 15,Neutral,2,Reuters
2020-04-15,ADANIPORTS major event 16,Neutral,10,Moneycontrol
2020-04-22,ADANIPORTS major event 17,Negative,9,Economic Times
2020-04-29,ADANIPORTS major event 18,Positive,4,Moneycontrol
2020-05-06,ADANIPORTS major event 19,Negative,2,Bloomberg
2020-05-13,ADANIPORTS major event 20,Negative,8,Moneycontrol
2020-05-20,ADANIPORTS major event 21,Negative,8,Economic Times
2020-05-27,ADANIPORTS major event 22,Neutral,1,Economic Times
2020-06-03,ADANIPORTS major event 23,Neutral,1,Moneycontrol
2020-06-10,ADANIPORTS major event 24,Negative,5,Bloomberg
2020-06-17,ADANIPORTS major event 25,Neutral,4,Economic Times
2020-06-24,ADANIPORTS major event 26,Neutral,9,Bloomberg
2020-07-01,ADANIPORTS major event 27,Negative,8,Economic Times
2020-07-08,ADANIPORTS major event 28,Positive,4,Reuters
2020-07-15,ADANIPORTS major event 29,Neutral,3,Reuters
2020-07-22,ADANIPORTS major event 30,Neutral,9,Bloomberg
2020-07-29,ADANIPORTS major event 31,Neutral,7,Bloomberg
2020-08-05,ADANIPORTS major event 32,Negative,1,Reuters
2020-08-12,ADANIPORTS major event 33,Negative,7,Economic Times
2020-08-19,ADANIPORTS major event 34,Positive,7,Reuters
2020-08-26,ADANIPORTS major event 35,Neutral,10,Moneycontrol
2020-09-02,ADANIPORTS major event 36,Positive,3,Reuters
2020-09-09,ADANIPORTS major event 37,Neutral,4,Moneycontrol
2020-09-16,ADANIPORTS major event 38,Neutral,8,Economic Times
2020-09-23,ADANIPORTS major event 39,Negative,2,Moneycontrol
2020-09-30,ADANIPORTS major event 40,Neutral,5,Economic Times
2020-10-07,ADANIPORTS major event 41,Negative,2,Economic Times
2020-10-14,ADANIPORTS major event 42,Negative,3,Economic Times
2020-10-21,ADANIPORTS major event 43,Negative,6,Economic Times
2020-10-28,ADANIPORTS major event 44,Positive,1,Reuters
2020-11-04,ADANIPORTS major event 45,Positive,10,Reuters
2020-11-11,ADANIPORTS major event 46,Positive,10,Reuters
2020-11-18,ADANIPORTS major event 47,Positive,7,Economic Times
2020-11-25,ADANIPORTS major event 48,Negative,6,Moneycontrol
2020-12-02,ADANIPORTS major event 49,Neutral,3,Economic Times
2020-12-09,ADANIPORTS major event 50,Negative,10,Reuters
2020-12-16,ADANIPORTS major event 51,Positive,8,Moneycontrol
2020-12-23,ADANIPORTS major event 52,Neutral,5,Reuters
2020-12-30,ADANIPORTS major event 53,Neutral,1,Economic Times
2021-01-06,ADANIPORTS major event 54,Negative,3,Economic Times
2021-01-13,ADANIPORTS major event 55,Positive,6,Moneycontrol
2021-01-20,ADANIPORTS major event 56,Positive,3,Bloomberg
2021-01-27,ADANIPORTS major event 57,Positive,5,Moneycontrol
