Date,Headline,Sentiment,Impact,Source
2020-01-01,BPCL major event 1,Neutral,5,Economic Times
2020-01-08,BPCL major event 2,Positive,5,Economic Times
2020-01-15,BPCL major event 3,Positive,7,Economic Times
2020-01-22,BPCL major event 4,Neutral,7,Reuters
2020-01-29,BPCL major event 5,Neutral,7,Economic Times
2020-02-05,BPCL major event 6,Neutral,8,Economic Times
2020-02-12,BPCL major event 7,Neutral,2,Moneycontrol
2020-02-19,BPCL major event 8,Neutral,5,Economic Times
2020-02-26,BPCL major event 9,Negative,6,Moneycontrol
2020-03-04,BPCL major event 10,Positive,1,Economic Times
2020-03-11,BPCL major event 11,Neutral,6,Economic Times
2020-03-18,BPCL major event 12,Positive,8,Moneycontrol
2020-03-25,BPCL major event 13,Negative,5,Bloomberg
2020-04-01,BPCL major event 14,Negative,4,Economic Times
2020-04-08,BPCL major event 15,Neutral,4,Economic Times
2020-04-15,BPCL major event 16,Positive,6,Reuters
2020-04-22,BPCL major event 17,Negative,2,Reuters
2020-04-29,BPCL major event 18,Neutral,5,Reuters
2020-05-06,BPCL major event 19,Positive,6,Reuters
2020-05-13,BPCL major event 20,Positive,4,Economic Times
2020-05-20,BPCL major event 21,Negative,7,Reuters
2020-05-27,BPCL major event 22,Neutral,2,Reuters
2020-06-03,BPCL major event 23,Positive,10,Moneycontrol
2020-06-10,BPCL major event 24,Negative,7,Bloomberg
2020-06-17,BPCL major event 25,Neutral,1,Bloomberg
2020-06-24,BPCL major event 26,Negative,6,Economic Times
2020-07-01,BPCL major event 27,Neutral,3,Reuters
2020-07-08,BPCL major event 28,Neutral,4,Moneycontrol
2020-07-15,BPCL major event 29,Negative,9,Bloomberg
2020-07-22,BPCL major event 30,Positive,5,Economic Times
2020-07-29,BPCL major event 31,Neutral,1,Moneycontrol
2020-08-05,BPCL major event 32,Positive,6,Bloomberg
2020-08-12,BPCL major event 33,Positive,6,Bloomberg
2020-08-19,BPCL major event 34,Positive,2,Bloomberg
2020-08-26,BPCL major event 35,Neutral,7,Moneycontrol
2020-09-02,BPCL major event 36,Neutral,9,Economic Times
2020-09-09,BPCL major event 37,Positive,6,Bloomberg
2020-09-16,BPCL major event 38,Negative,7,Economic Times
2020-09-23,BPCL major event 39,Positive,4,Moneycontrol
2020-09-30,BPCL major event 40,Neutral,5,Moneycontrol
2020-10-07,BPCL major event 41,Positive,6,Bloomberg
2020-10-14,BPCL major event 42,Negative,1,Economic Times
2020-10-21,BPCL major event 43,Negative,4,Moneycontrol
2020-10-28,BPCL major event 44,Neutral,2,Bloomberg
2020-11-04,BPCL major event 45,Neutral,1,Economic Times
2020-11-11,BPCL major event 46,Negative,4,Bloomberg
2020-11-18,BPCL major event 47,Negative,3,Bloomberg
2020-11-25,BPCL major event 48,Positive,7,Reuters
2020-12-02,BPCL major event 49,Positive,5,Bloomberg
2020-12-09,BPCL major event 50,Negative,8,Bloomberg
2020-12-16,BPCL major event 51,Neutral,4,Reuters
2020-12-23,BPCL major event 52,Positive,8,Moneycontrol
2020-12-30,BPCL major event 53,Neutral,9,Reuters
2021-01-06,BPCL major event 54,Positive,2,Economic Times
2021-01-13,BPCL major event 55,Neutral,1,Reuters
2021-01-20,BPCL major event 56,Positive,8,Moneycontrol
2021-01-27,BPCL major event 57,Negative,3,Reuters
2021-02-03,BPCL major event 58,Negative,6,Bloomberg
2021-02-10,BPCL major event 59,Negative,1,Bloomberg
2021-02-17,BPCL major event 60,Neutral,3,Moneycontrol
2021-02-24,BPCL major event 61,Negative,10,Moneycontrol
2021-03-03,BPCL major event 62,Positive,1,Reuters
2021-03-10,BPCL major event 63,Neutral,5,Moneycontrol
2021-03-17,BPCL major event 64,Negative,4,Bloomberg
2021-03-24,BPCL major event 65,Positive,10,Bloomberg
2021-03-31,BPCL major event 66,Negative,8,Reuters
2021-04-07,BPCL major event 67,Positive,5,Moneycontrol
2021-04-14,BPCL major event 68,Negative,1,Economic Times
2021-04-21,BPCL major event 69,Positive,9,Moneycontrol
2021-04-28,BPCL major event 70,Negative,6,Bloomberg
2021-05-05,BPCL major event 71,Neutral,5,Economic Times
2021-05-12,BPCL major event 72,Neutral,7,Economic Times
2021-05-19,BPCL major event 73,Negative,9,Moneycontrol
2021-05-26,BPCL major event 74,Negative,4,Reuters
2021-06-02,BPCL major event 75,Neutral,9,Economic Times
2021-06-09,BPCL major event 76,Positive,5,Economic Times
2021-06-16,BPCL major event 77,Neutral,2,Economic Times
2021-06-23,BPCL major event 78,Positive,10,Bloomberg
2021-06-30,BPCL major event 79,Neutral,6,Bloomberg
2021-07-07,BPCL major event 80,Neutral,4,Moneycontrol
2021-07-14,BPCL major event 81,Neutral,6,Economic Times
2021-07-21,BPCL major event 82,Positive,5,Moneycontrol
2021-07-28,BPCL major event 83,Negative,1,Moneycontrol
2021-08-04,BPCL major event 84,Positive,9,Bloomberg
2021-08-11,BPCL major event 85,Negative,9,Reuters
2021-08-18,BPCL major event 86,Neutral,6,Reuters
2021-08-25,BPCL major event 87,Negative,3,Economic Times
2021-09-01,BPCL major event 88,Positive,4,Economic Times
2021-09-08,BPCL major event 89,Positive,6,Bloomberg
2021-09-15,BPCL major event 90,Positive,10,Bloomberg
2021-09-22,BPCL major event 91,Negative,1,Reuters
2021-09-29,BPCL major event 92,Positive,8,Reuters
2021-10-06,BPCL major event 93,Positive,5,Bloomberg
2021-10-13,BPCL major event 94,Positive,2,Bloomberg
2021-10-20,BPCL major event 95,Negative,3,Moneycontrol
2021-10-27,BPCL major event 96,Neutral,9,Reuters
2021-11-03,BPCL major event 97,Positive,6,Bloomberg
2021-11-10,BPCL major event 98,Neutral,7,Bloomberg
2021-11-17,BPCL major event 99,Positive,9,Economic Times
2021-11-24,BPCL major event 100,Negative,9,Reuters
2021-12-01,BPCL major event 101,Neutral,4,Moneycontrol
2021-12-08,BPCL major event 102,Negative,7,Economic Times
2021-12-15,BPCL major event 103,Neutral,8,Reuters
2021-12-22,BPCL major event 104,Negative,8,Economic Times
2021-12-29,BPCL major event 105,Neutral,5,Economic Times
2022-01-05,BPCL major event 106,Neutral,7,Bloomberg
2022-01-12,BPCL major event 107,Positive,1,Economic Times
2022-01-19,BPCL major event 108,Negative,7,Reuters
2022-01-26,BPCL major event 109,Neutral,8,Bloomberg
2022-02-02,BPCL major event 110,Neutral,10,Economic Times
2022-02-09,BPCL major event 111,Negative,10,Reuters
2022-02-16,BPCL major event 112,Neutral,4,Bloomberg
2022-02-23,BPCL major event 113,Negative,2,Moneycontrol
2022-03-02,BPCL major event 114,Positive,2,Bloomberg
2022-03-09,BPCL major event 115,Neutral,1,Moneycontrol
2022-03-16,BPCL major event 116,Negative,5,Moneycontrol
2022-03-23,BPCL major event 117,Neutral,3,Bloomberg
2022-03-30,BPCL major event 118,Negative,5,Reuters
2022-04-06,BPCL major event 119,Neutral,2,Reuters
2022-04-13,BPCL major event 120,Positive,9,Moneycontrol
2022-04-20,BPCL major event 121,Neutral,6,Moneycontrol
2022-04-27,BPCL major event 122,Neutral,6,Reuters
2022-05-04,BPCL major event 123,Neutral,10,Bloomberg
2022-05-11,BPCL major event 124,Negative,7,Economic Times
2022-05-18,BPCL major event 125,Positive,8,Bloomberg
2022-05-25,BPCL major event 126,Negative,1,Moneycontrol
2022-06-01,BPCL major event 127,Positive,8,Reuters
2022-06-08,BPCL major event 128,Neutral,7,Economic Times
2022-06-15,BPCL major event 129,Negative,4,Bloomberg
2022-06-22,BPCL major event 130,Positive,1,Bloomberg
2022-06-29,BPCL major event 131,Positive,10,Moneycontrol
2022-07-06,BPCL major event 132,Negative,3,Reuters
2022-07-13,BPCL major event 133,Positive,7,Reuters
2022-07-20,BPCL major event 134,Negative,1,Economic Times
2022-07-27,BPCL major event 135,Negative,9,Bloomberg
2022-08-03,BPCL major event 136,Negative,1,Reuters
2022-08-10,BPCL major event 137,Negative,2,Bloomberg
2022-08-17,BPCL major event 138,Negative,3,Reuters
2022-08-24,BPCL major event 139,Positive,10,Economic Times
2022-08-31,BPCL major event 140,Positive,5,Reuters
2022-09-07,BPCL major event 141,Neutral,1,Bloomberg
2022-09-14,BPCL major event 142,Neutral,8,Bloomberg
2022-09-21,BPCL major event 143,Negative,10,Moneycontrol
2022-09-28,BPCL major event 144,Negative,8,Bloomberg
2022-10-05,BPCL major event 145,Positive,6,Economic Times
2022-10-12,BPCL major event 146,Negative,4,Reuters
2022-10-19,BPCL major event 147,Negative,9,Reuters
2022-10-26,BPCL major event 148,Neutral,5,Bloomberg
2022-11-02,BPCL major event 149,Neutral,5,Bloomberg
2022-11-09,BPCL major event 150,Positive,8,Moneycontrol
2022-11-16,BPCL major event 151,Positive,5,Bloomberg
2022-11-23,BPCL major event 152,Positive,5,Bloomberg
2022-11-30,BPCL major event 153,Neutral,7,Reuters
2022-12-07,BPCL major event 154,Neutral,10,Bloomberg
2022-12-14,BPCL major event 155,Negative,4,Bloomberg
2022-12-21,BPCL major event 156,Neutral,9,Economic Times
2022-12-28,BPCL major event 157,Negative,8,Moneycontrol
2023-01-04,BPCL major event 158,Negative,10,Reuters
2023-01-11,BPCL major event 159,Neutral,4,Moneycontrol
2023-01-18,BPCL major event 160,Neutral,3,Moneycontrol
2023-01-25,BPCL major event 161,Positive,3,Moneycontrol
2023-02-01,BPCL major event 162,Neutral,5,Moneycontrol
2023-02-08,BPCL major event 163,Positive,4,Economic Times
2023-02-15,BPCL major event 164,Negative,8,Moneycontrol
2023-02-22,BPCL major event 165,Positive,8,Reuters
2023-03-01,BPCL major event 166,Positive,10,Reuters
2023-03-08,BPCL major event 167,Positive,6,Reuters
2023-03-15,BPCL major event 168,Negative,10,Bloomberg
2023-03-22,BPCL major event 169,Neutral,7,Moneycontrol
2023-03-29,BPCL major event 170,Neutral,10,Reuters
2023-04-05,BPCL major event 171,Negative,7,Moneycontrol
2023-04-12,BPCL major event 172,Negative,10,Reuters
2023-04-19,BPCL major event 173,Neutral,8,Economic Times
2023-04-26,BPCL major event 174,Neutral,7,Moneycontrol
2023-05-03,BPCL major event 175,Neutral,8,Economic Times
2023-05-10,BPCL major event 176,Negative,2,Reuters
2023-05-17,BPCL major event 177,Negative,5,Economic Times
2023-05-24,BPCL major event 178,Neutral,7,Economic Times
2023-05-31,BPCL major event 179,Positive,10,Moneycontrol
2023-06-07,BPCL major event 180,Neutral,5,Economic Times
2023-06-14,BPCL major event 181,Positive,1,Economic Times
2023-06-21,BPCL major event 182,Neutral,5,Economic Times
2023-06-28,BPCL major event 183,Neutral,5,Moneycontrol
2023-07-05,BPCL major event 184,Neutral,8,Economic Times
2023-07-12,BPCL major event 185,Negative,10,Bloomberg
2023-07-19,BPCL major event 186,Positive,9,Moneycontrol
2023-07-26,BPCL major event 187,Negative,9,Economic Times
2023-08-02,BPCL major event 188,Neutral,2,Bloomberg
2023-08-09,BPCL major event 189,Negative,3,Economic Times
2023-08-16,BPCL major event 190,Neutral,10,Moneycontrol
2023-08-23,BPCL major event 191,Negative,4,Economic Times
2023-08-30,BPCL major event 192,Neutral,4,Bloomberg
2023-09-06,BPCL major event 193,Positive,7,Economic Times
2023-09-13,BPCL major event 194,Negative,5,Bloomberg
2023-09-20,BPCL major event 195,Neutral,4,Reuters
2023-09-27,BPCL major event 196,Neutral,3,Bloomberg
2023-10-04,BPCL major event 197,Neutral,5,Bloomberg
2023-10-11,BPCL major event 198,Negative,7,Bloomberg
2023-10-18,BPCL major event 199,Neutral,8,Bloomberg
2023-10-25,BPCL major event 200,Neutral,2,Reuters
2023-11-01,BPCL major event 201,Neutral,1,Economic Times
2023-11-08,BPCL major event 202,Neutral,5,Economic Times
2023-11-15,BPCL major event 203,Positive,4,Bloomberg
2023-11-22,BPCL major event 204,Negative,9,Economic Times
2023-11-29,BPCL major event 205,Negative,6,Bloomberg
2023-12-06,BPCL major event 206,Neutral,5,Moneycontrol
2023-12-13,BPCL major event 207,Negative,8,Bloomberg
2023-12-20,BPCL major event 208,Positive,9,Moneycontrol
2023-12-27,BPCL major event 209,Neutral,7,Economic Times
2024-01-03,BPCL major event 210,Positive,1,Bloomberg
2024-01-10,BPCL major event 211,Positive,6,Reuters
2024-01-17,BPCL major event 212,Neutral,5,Moneycontrol
2024-01-24,BPCL major event 213,Positive,3,Economic Times
2024-01-31,BPCL major event 214,Positive,2,Bloomberg
2024-02-07,BPCL major event 215,Neutral,1,Bloomberg
2024-02-14,BPCL major event 216,Negative,2,Bloomberg
2024-02-21,BPCL major event 217,Positive,8,Bloomberg
2024-02-28,BPCL major event 218,Neutral,3,Moneycontrol
2024-03-06,BPCL major event 219,Positive,4,Bloomberg
2024-03-13,BPCL major event 220,Positive,6,Economic Times
2024-03-20,BPCL major event 221,Negative,5,Reuters
2024-03-27,BPCL major event 222,Neutral,7,Moneycontrol
2024-04-03,BPCL major event 223,Negative,9,Moneycontrol
2024-04-10,BPCL major event 224,Negative,9,Economic Times
2024-04-17,BPCL major event 225,Neutral,8,Bloomberg
2024-04-24,BPCL major event 226,Negative,4,Moneycontrol
2024-05-01,BPCL major event 227,Positive,6,Economic Times
