Date,Headline,Sentiment,Impact,Source
2020-01-01,HDFC major event 1,Neutral,2,Reuters
2020-01-08,HDFC major event 2,Positive,5,Bloomberg
2020-01-15,HDFC major event 3,Positive,10,Bloomberg
2020-01-22,HDFC major event 4,Positive,6,Economic Times
2020-01-29,HDFC major event 5,Neutral,3,Economic Times
2020-02-05,HDFC major event 6,Negative,1,Bloomberg
2020-02-12,HDFC major event 7,Positive,10,Bloomberg
2020-02-19,HDFC major event 8,Positive,5,Moneycontrol
2020-02-26,HDFC major event 9,Negative,10,Moneycontrol
2020-03-04,HDFC major event 10,Neutral,5,Bloomberg
2020-03-11,HDFC major event 11,Neutral,3,Reuters
2020-03-18,HDFC major event 12,Negative,10,Moneycontrol
2020-03-25,HDFC major event 13,Positive,6,Reuters
2020-04-01,HDFC major event 14,Neutral,4,Economic Times
2020-04-08,HDFC major event 15,Negative,3,Moneycontrol
2020-04-15,HDFC major event 16,Negative,7,Bloomberg
2020-04-22,HDFC major event 17,Positive,2,Economic Times
2020-04-29,HDFC major event 18,Negative,4,Reuters
2020-05-06,HDFC major event 19,Negative,10,Economic Times
2020-05-13,HDFC major event 20,Neutral,1,Moneycontrol
2020-05-20,HDFC major event 21,Neutral,6,Reuters
2020-05-27,HDFC major event 22,Neutral,9,Moneycontrol
2020-06-03,HDFC major event 23,Negative,8,Moneycontrol
2020-06-10,HDFC major event 24,Neutral,9,Bloomberg
2020-06-17,HDFC major event 25,Neutral,10,Economic Times
2020-06-24,HDFC major event 26,Negative,4,Reuters
2020-07-01,HDFC major event 27,Neutral,9,Bloomberg
2020-07-08,HDFC major event 28,Positive,8,Moneycontrol
2020-07-15,HDFC major event 29,Positive,2,Reuters
2020-07-22,HDFC major event 30,Positive,4,Bloomberg
2020-07-29,HDFC major event 31,Positive,4,Reuters
2020-08-05,HDFC major event 32,Negative,10,Reuters
2020-08-12,HDFC major event 33,Positive,7,Economic Times
2020-08-19,HDFC major event 34,Positive,5,Reuters
2020-08-26,HDFC major event 35,Neutral,5,Bloomberg
2020-09-02,HDFC major event 36,Negative,1,Economic Times
2020-09-09,HDFC major event 37,Neutral,9,Bloomberg
2020-09-16,HDFC major event 38,Neutral,10,Economic Times
2020-09-23,HDFC major event 39,Neutral,1,Reuters
2020-09-30,HDFC major event 40,Neutral,10,Moneycontrol
2020-10-07,HDFC major event 41,Neutral,9,Economic Times
2020-10-14,HDFC major event 42,Negative,8,Bloomberg
2020-10-21,HDFC major event 43,Positive,4,Moneycontrol
2020-10-28,HDFC major event 44,Negative,1,Bloomberg
2020-11-04,HDFC major event 45,Negative,2,Economic Times
2020-11-11,HDFC major event 46,Negative,8,Bloomberg
2020-11-18,HDFC major event 47,Negative,3,Economic Times
2020-11-25,HDFC major event 48,Positive,6,Economic Times
2020-12-02,HDFC major event 49,Positive,2,Bloomberg
2020-12-09,HDFC major event 50,Neutral,6,Moneycontrol
2020-12-16,HDFC major event 51,Positive,2,Bloomberg
2020-12-23,HDFC major event 52,Negative,2,Reuters
2020-12-30,HDFC major event 53,Positive,10,Economic Times
2021-01-06,HDFC major event 54,Positive,1,Bloomberg
2021-01-13,HDFC major event 55,Positive,9,Economic Times
2021-01-20,HDFC major event 56,Neutral,8,Economic Times
2021-01-27,HDFC major event 57,Negative,9,Reuters
2021-02-03,HDFC major event 58,Negative,7,Reuters
2021-02-10,HDFC major event 59,Positive,9,Reuters
2021-02-17,HDFC major event 60,Neutral,1,Reuters
2021-02-24,HDFC major event 61,Positive,1,Moneycontrol
2021-03-03,HDFC major event 62,Positive,6,Bloomberg
2021-03-10,HDFC major event 63,Positive,6,Bloomberg
2021-03-17,HDFC major event 64,Negative,5,Moneycontrol
2021-03-24,HDFC major event 65,Positive,2,Moneycontrol
2021-03-31,HDFC major event 66,Negative,7,Reuters
2021-04-07,HDFC major event 67,Positive,4,Bloomberg
2021-04-14,HDFC major event 68,Positive,9,Economic Times
2021-04-21,HDFC major event 69,Negative,9,Moneycontrol
2021-04-28,HDFC major event 70,Negative,2,Economic Times
