Date,Headline,Sentiment,Impact,Source
2020-01-01,HUL major event 1,Neutral,4,Economic Times
2020-01-08,HUL major event 2,Neutral,1,Reuters
2020-01-15,HUL major event 3,Neutral,3,Moneycontrol
2020-01-22,HUL major event 4,Neutral,9,Moneycontrol
2020-01-29,HUL major event 5,Neutral,4,Moneycontrol
2020-02-05,HUL major event 6,Neutral,8,Moneycontrol
2020-02-12,HUL major event 7,Positive,7,Bloomberg
2020-02-19,HUL major event 8,Negative,9,Economic Times
2020-02-26,HUL major event 9,Negative,3,Economic Times
2020-03-04,HUL major event 10,Negative,2,Reuters
2020-03-11,HUL major event 11,Negative,2,Reuters
2020-03-18,HUL major event 12,Positive,4,Economic Times
2020-03-25,HUL major event 13,Positive,2,Reuters
2020-04-01,HUL major event 14,Negative,5,Reuters
2020-04-08,HUL major event 15,Negative,4,Reuters
2020-04-15,HUL major event 16,Positive,5,Economic Times
2020-04-22,HUL major event 17,Neutral,3,Reuters
2020-04-29,HUL major event 18,Positive,6,Economic Times
2020-05-06,HUL major event 19,Neutral,7,Moneycontrol
2020-05-13,HUL major event 20,Positive,7,Reuters
2020-05-20,HUL major event 21,Negative,6,Reuters
2020-05-27,HUL major event 22,Positive,10,Reuters
2020-06-03,HUL major event 23,Positive,6,Moneycontrol
2020-06-10,HUL major event 24,Positive,2,Economic Times
2020-06-17,HUL major event 25,Negative,3,Moneycontrol
2020-06-24,HUL major event 26,Negative,6,Reuters
2020-07-01,HUL major event 27,Positive,10,Bloomberg
2020-07-08,HUL major event 28,Positive,2,Moneycontrol
2020-07-15,HUL major event 29,Negative,9,Economic Times
2020-07-22,HUL major event 30,Positive,1,Economic Times
2020-07-29,HUL major event 31,Neutral,8,Economic Times
2020-08-05,HUL major event 32,Positive,1,Moneycontrol
2020-08-12,HUL major event 33,Positive,4,Reuters
2020-08-19,HUL major event 34,Neutral,2,Moneycontrol
2020-08-26,HUL major event 35,Neutral,7,Economic Times
2020-09-02,HUL major event 36,Neutral,6,Economic Times
2020-09-09,HUL major event 37,Positive,10,Reuters
2020-09-16,HUL major event 38,Positive,5,Economic Times
2020-09-23,HUL major event 39,Positive,6,Economic Times
2020-09-30,HUL major event 40,Positive,9,Reuters
2020-10-07,HUL major event 41,Negative,10,Moneycontrol
2020-10-14,HUL major event 42,Positive,8,Bloomberg
2020-10-21,HUL major event 43,Positive,3,Bloomberg
2020-10-28,HUL major event 44,Positive,10,Bloomberg
2020-11-04,HUL major event 45,Neutral,4,Economic Times
2020-11-11,HUL major event 46,Negative,9,Economic Times
2020-11-18,HUL major event 47,Negative,9,Moneycontrol
2020-11-25,HUL major event 48,Negative,6,Economic Times
2020-12-02,HUL major event 49,Positive,9,Moneycontrol
2020-12-09,HUL major event 50,Positive,8,Moneycontrol
2020-12-16,HUL major event 51,Neutral,4,Bloomberg
2020-12-23,HUL major event 52,Neutral,4,Moneycontrol
2020-12-30,HUL major event 53,Neutral,5,Bloomberg
2021-01-06,HUL major event 54,Positive,5,Moneycontrol
2021-01-13,HUL major event 55,Neutral,4,Economic Times
2021-01-20,HUL major event 56,Negative,7,Bloomberg
2021-01-27,HUL major event 57,Positive,8,Reuters
2021-02-03,HUL major event 58,Negative,10,Moneycontrol
2021-02-10,HUL major event 59,Positive,3,Reuters
2021-02-17,HUL major event 60,Neutral,2,Reuters
2021-02-24,HUL major event 61,Positive,4,Economic Times
2021-03-03,HUL major event 62,Positive,8,Economic Times
2021-03-10,HUL major event 63,Negative,2,Bloomberg
2021-03-17,HUL major event 64,Negative,1,Economic Times
2021-03-24,HUL major event 65,Negative,10,Reuters
2021-03-31,HUL major event 66,Positive,1,Bloomberg
2021-04-07,HUL major event 67,Negative,7,Bloomberg
2021-04-14,HUL major event 68,Negative,10,Moneycontrol
2021-04-21,HUL major event 69,Neutral,9,Moneycontrol
2021-04-28,HUL major event 70,Positive,2,Reuters
2021-05-05,HUL major event 71,Negative,5,Reuters
2021-05-12,HUL major event 72,Positive,4,Moneycontrol
2021-05-19,HUL major event 73,Negative,6,Bloomberg
2021-05-26,HUL major event 74,Positive,3,Reuters
2021-06-02,HUL major event 75,Positive,9,Bloomberg
2021-06-09,HUL major event 76,Negative,6,Economic Times
2021-06-16,HUL major event 77,Negative,1,Moneycontrol
2021-06-23,HUL major event 78,Positive,8,Reuters
2021-06-30,HUL major event 79,Negative,4,Bloomberg
2021-07-07,HUL major event 80,Neutral,5,Reuters
2021-07-14,HUL major event 81,Neutral,2,Reuters
2021-07-21,HUL major event 82,Neutral,4,Moneycontrol
2021-07-28,HUL major event 83,Neutral,6,Moneycontrol
2021-08-04,HUL major event 84,Positive,4,Reuters
2021-08-11,HUL major event 85,Neutral,7,Economic Times
2021-08-18,HUL major event 86,Positive,2,Economic Times
2021-08-25,HUL major event 87,Positive,4,Bloomberg
2021-09-01,HUL major event 88,Neutral,4,Bloomberg
2021-09-08,HUL major event 89,Positive,9,Economic Times
2021-09-15,HUL major event 90,Positive,3,Bloomberg
2021-09-22,HUL major event 91,Neutral,2,Economic Times
2021-09-29,HUL major event 92,Positive,5,Economic Times
2021-10-06,HUL major event 93,Positive,3,Bloomberg
2021-10-13,HUL major event 94,Positive,10,Moneycontrol
2021-10-20,HUL major event 95,Neutral,6,Reuters
2021-10-27,HUL major event 96,Neutral,4,Bloomberg
2021-11-03,HUL major event 97,Positive,4,Bloomberg
2021-11-10,HUL major event 98,Negative,1,Reuters
2021-11-17,HUL major event 99,Positive,2,Moneycontrol
2021-11-24,HUL major event 100,Negative,3,Moneycontrol
2021-12-01,HUL major event 101,Positive,2,Bloomberg
2021-12-08,HUL major event 102,Neutral,2,Economic Times
2021-12-15,HUL major event 103,Neutral,9,Bloomberg
2021-12-22,HUL major event 104,Negative,8,Reuters
2021-12-29,HUL major event 105,Neutral,3,Bloomberg
2022-01-05,HUL major event 106,Neutral,1,Moneycontrol
2022-01-12,HUL major event 107,Negative,9,Economic Times
2022-01-19,HUL major event 108,Negative,7,Moneycontrol
2022-01-26,HUL major event 109,Negative,5,Moneycontrol
2022-02-02,HUL major event 110,Positive,9,Bloomberg
