Date,Headline,Sentiment,Impact,Source
2020-01-01,ITC major event 1,Negative,6,Economic Times
2020-01-08,ITC major event 2,Neutral,4,Economic Times
2020-01-15,ITC major event 3,Neutral,9,Moneycontrol
2020-01-22,ITC major event 4,Positive,6,Moneycontrol
2020-01-29,ITC major event 5,Neutral,8,Moneycontrol
2020-02-05,ITC major event 6,Positive,1,Moneycontrol
2020-02-12,ITC major event 7,Neutral,5,Moneycontrol
2020-02-19,ITC major event 8,Positive,6,Reuters
2020-02-26,ITC major event 9,Neutral,1,Economic Times
2020-03-04,ITC major event 10,Negative,5,Bloomberg
2020-03-11,ITC major event 11,Positive,2,Economic Times
2020-03-18,ITC major event 12,Neutral,1,Moneycontrol
2020-03-25,ITC major event 13,Positive,7,Bloomberg
2020-04-01,ITC major event 14,Neutral,7,Moneycontrol
2020-04-08,ITC major event 15,Neutral,1,Moneycontrol
2020-04-15,ITC major event 16,Negative,9,Reuters
2020-04-22,ITC major event 17,Negative,7,Economic Times
2020-04-29,ITC major event 18,Neutral,9,Reuters
2020-05-06,ITC major event 19,Negative,2,Reuters
2020-05-13,ITC major event 20,Positive,7,Economic Times
2020-05-20,ITC major event 21,Negative,6,Bloomberg
2020-05-27,ITC major event 22,Neutral,4,Economic Times
2020-06-03,ITC major event 23,Neutral,6,Bloomberg
2020-06-10,ITC major event 24,Negative,7,Moneycontrol
2020-06-17,ITC major event 25,Negative,5,Economic Times
2020-06-24,ITC major event 26,Positive,10,Moneycontrol
2020-07-01,ITC major event 27,Neutral,1,Moneycontrol
2020-07-08,ITC major event 28,Positive,2,Reuters
2020-07-15,ITC major event 29,Neutral,7,Bloomberg
2020-07-22,ITC major event 30,Neutral,6,Bloomberg
2020-07-29,ITC major event 31,Negative,10,Moneycontrol
2020-08-05,ITC major event 32,Positive,6,Bloomberg
2020-08-12,ITC major event 33,Negative,2,Reuters
2020-08-19,ITC major event 34,Negative,4,Reuters
2020-08-26,ITC major event 35,Negative,8,Bloomberg
2020-09-02,ITC major event 36,Neutral,7,Bloomberg
2020-09-09,ITC major event 37,Positive,1,Reuters
2020-09-16,ITC major event 38,Negative,6,Moneycontrol
2020-09-23,ITC major event 39,Negative,4,Reuters
2020-09-30,ITC major event 40,Neutral,9,Economic Times
2020-10-07,ITC major event 41,Positive,1,Economic Times
2020-10-14,ITC major event 42,Neutral,4,Bloomberg
2020-10-21,ITC major event 43,Neutral,2,Bloomberg
2020-10-28,ITC major event 44,Neutral,8,Reuters
2020-11-04,ITC major event 45,Neutral,3,Bloomberg
2020-11-11,ITC major event 46,Positive,1,Bloomberg
2020-11-18,ITC major event 47,Neutral,6,Economic Times
2020-11-25,ITC major event 48,Positive,8,Moneycontrol
