Date,Headline,Sentiment,Impact,Source
2020-01-01,MARUTI major event 1,Neutral,7,Moneycontrol
2020-01-08,MARUTI major event 2,Neutral,10,Economic Times
2020-01-15,MARUTI major event 3,Positive,2,Economic Times
2020-01-22,MARUTI major event 4,Negative,7,Reuters
2020-01-29,MARUTI major event 5,Positive,8,Bloomberg
2020-02-05,MARUTI major event 6,Neutral,3,Moneycontrol
2020-02-12,MARUTI major event 7,Neutral,9,Reuters
2020-02-19,MARUTI major event 8,Negative,6,Economic Times
2020-02-26,MARUTI major event 9,Negative,10,Moneycontrol
2020-03-04,MARUTI major event 10,Neutral,10,Moneycontrol
2020-03-11,MARUTI major event 11,Neutral,6,Bloomberg
2020-03-18,MARUTI major event 12,Negative,1,Moneycontrol
2020-03-25,MARUTI major event 13,Neutral,6,Economic Times
2020-04-01,MARUTI major event 14,Neutral,1,Bloomberg
2020-04-08,MARUTI major event 15,Neutral,9,Reuters
2020-04-15,MARUTI major event 16,Neutral,10,Reuters
2020-04-22,MARUTI major event 17,Positive,2,Economic Times
2020-04-29,MARUTI major event 18,Negative,5,Economic Times
2020-05-06,MARUTI major event 19,Negative,8,Bloomberg
2020-05-13,MARUTI major event 20,Negative,5,Bloomberg
2020-05-20,MARUTI major event 21,Positive,8,Moneycontrol
2020-05-27,MARUTI major event 22,Positive,6,Bloomberg
2020-06-03,MARUTI major event 23,Negative,9,Bloomberg
2020-06-10,MARUTI major event 24,Neutral,7,Economic Times
2020-06-17,MARUTI major event 25,Positive,3,Bloomberg
2020-06-24,MARUTI major event 26,Positive,3,Reuters
2020-07-01,MARUTI major event 27,Positive,5,Bloomberg
2020-07-08,MARUTI major event 28,Positive,10,Bloomberg
2020-07-15,MARUTI major event 29,Positive,5,Bloomberg
2020-07-22,MARUTI major event 30,Negative,4,Economic Times
2020-07-29,MARUTI major event 31,Positive,5,Reuters
2020-08-05,MARUTI major event 32,Positive,2,Moneycontrol
2020-08-12,MARUTI major event 33,Neutral,4,Reuters
2020-08-19,MARUTI major event 34,Positive,9,Moneycontrol
2020-08-26,MARUTI major event 35,Positive,8,Moneycontrol
2020-09-02,MARUTI major event 36,Positive,7,Moneycontrol
2020-09-09,MARUTI major event 37,Neutral,5,Bloomberg
2020-09-16,MARUTI major event 38,Negative,4,Moneycontrol
2020-09-23,MARUTI major event 39,Neutral,10,Reuters
2020-09-30,MARUTI major event 40,Negative,2,Bloomberg
2020-10-07,MARUTI major event 41,Positive,1,Moneycontrol
2020-10-14,MARUTI major event 42,Positive,4,Reuters
2020-10-21,MARUTI major event 43,Positive,10,Moneycontrol
2020-10-28,MARUTI major event 44,Negative,2,Economic Times
2020-11-04,MARUTI major event 45,Negative,2,Bloomberg
2020-11-11,MARUTI major event 46,Neutral,6,Reuters
2020-11-18,MARUTI major event 47,Neutral,1,Bloomberg
2020-11-25,MARUTI major event 48,Positive,5,Moneycontrol
2020-12-02,MARUTI major event 49,Neutral,1,Bloomberg
2020-12-09,MARUTI major event 50,Neutral,3,Economic Times
2020-12-16,MARUTI major event 51,Neutral,3,Bloomberg
2020-12-23,MARUTI major event 52,Positive,5,Reuters
2020-12-30,MARUTI major event 53,Positive,4,Reuters
2021-01-06,MARUTI major event 54,Negative,5,Moneycontrol
2021-01-13,MARUTI major event 55,Neutral,4,Reuters
2021-01-20,MARUTI major event 56,Negative,1,Economic Times
2021-01-27,MARUTI major event 57,Positive,2,Moneycontrol
2021-02-03,MARUTI major event 58,Negative,5,Moneycontrol
2021-02-10,MARUTI major event 59,Negative,2,Moneycontrol
2021-02-17,MARUTI major event 60,Positive,4,Moneycontrol
2021-02-24,MARUTI major event 61,Negative,4,Reuters
2021-03-03,MARUTI major event 62,Positive,7,Bloomberg
2021-03-10,MARUTI major event 63,Negative,3,Reuters
2021-03-17,MARUTI major event 64,Negative,3,Economic Times
2021-03-24,MARUTI major event 65,Neutral,8,Bloomberg
2021-03-31,MARUTI major event 66,Negative,10,Bloomberg
2021-04-07,MARUTI major event 67,Positive,8,Economic Times
2021-04-14,MARUTI major event 68,Neutral,7,Moneycontrol
2021-04-21,MARUTI major event 69,Negative,1,Moneycontrol
2021-04-28,MARUTI major event 70,Positive,8,Bloomberg
2021-05-05,MARUTI major event 71,Positive,5,Bloomberg
2021-05-12,MARUTI major event 72,Positive,1,Bloomberg
2021-05-19,MARUTI major event 73,Neutral,7,Moneycontrol
2021-05-26,MARUTI major event 74,Positive,8,Reuters
2021-06-02,MARUTI major event 75,Neutral,1,Economic Times
2021-06-09,MARUTI major event 76,Negative,1,Reuters
2021-06-16,MARUTI major event 77,Negative,3,Moneycontrol
2021-06-23,MARUTI major event 78,Neutral,4,Economic Times
