Date,Headline,Sentiment,Impact,Source
2020-01-01,ONGC major event 1,Negative,4,Reuters
2020-01-08,ONGC major event 2,Positive,4,Reuters
2020-01-15,ONGC major event 3,Positive,4,Moneycontrol
2020-01-22,ONGC major event 4,Positive,1,Reuters
2020-01-29,ONGC major event 5,Positive,2,Bloomberg
2020-02-05,ONGC major event 6,Neutral,10,Moneycontrol
2020-02-12,ONGC major event 7,Neutral,2,Moneycontrol
2020-02-19,ONGC major event 8,Positive,5,Reuters
2020-02-26,ONGC major event 9,Neutral,3,Economic Times
2020-03-04,ONGC major event 10,Negative,5,Moneycontrol
2020-03-11,ONGC major event 11,Neutral,9,Moneycontrol
2020-03-18,ONGC major event 12,Neutral,1,Moneycontrol
2020-03-25,ONGC major event 13,Negative,4,Bloomberg
2020-04-01,ONGC major event 14,Neutral,1,Bloomberg
2020-04-08,ONGC major event 15,Neutral,4,Moneycontrol
2020-04-15,ONGC major event 16,Neutral,6,Moneycontrol
2020-04-22,ONGC major event 17,Negative,4,Economic Times
2020-04-29,ONGC major event 18,Negative,6,Reuters
2020-05-06,ONGC major event 19,Neutral,1,Bloomberg
2020-05-13,ONGC major event 20,Negative,9,Reuters
2020-05-20,ONGC major event 21,Neutral,5,Bloomberg
2020-05-27,ONGC major event 22,Negative,2,Economic Times
2020-06-03,ONGC major event 23,Neutral,10,Bloomberg
2020-06-10,ONGC major event 24,Neutral,1,Reuters
2020-06-17,ONGC major event 25,Neutral,8,Bloomberg
2020-06-24,ONGC major event 26,Neutral,1,Reuters
2020-07-01,ONGC major event 27,Negative,5,Reuters
2020-07-08,ONGC major event 28,Positive,3,Bloomberg
2020-07-15,ONGC major event 29,Positive,10,Reuters
2020-07-22,ONGC major event 30,Neutral,1,Reuters
2020-07-29,ONGC major event 31,Neutral,8,Moneycontrol
2020-08-05,ONGC major event 32,Positive,6,Reuters
2020-08-12,ONGC major event 33,Neutral,1,Economic Times
2020-08-19,ONGC major event 34,Positive,2,Economic Times
2020-08-26,ONGC major event 35,Positive,10,Economic Times
2020-09-02,ONGC major event 36,Positive,8,Economic Times
2020-09-09,ONGC major event 37,Positive,7,Bloomberg
2020-09-16,ONGC major event 38,Neutral,10,Economic Times
