Date,Headline,Sentiment,Impact,Source
2020-01-01,SBI major event 1,Positive,9,Economic Times
2020-01-08,SBI major event 2,Neutral,3,Reuters
2020-01-15,SBI major event 3,Neutral,4,Economic Times
2020-01-22,SBI major event 4,Negative,9,Reuters
2020-01-29,SBI major event 5,Neutral,1,Economic Times
2020-02-05,SBI major event 6,Neutral,4,Moneycontrol
2020-02-12,SBI major event 7,Neutral,1,Bloomberg
2020-02-19,SBI major event 8,Positive,6,Reuters
2020-02-26,SBI major event 9,Positive,7,Moneycontrol
2020-03-04,SBI major event 10,Negative,3,Reuters
2020-03-11,SBI major event 11,Positive,10,Moneycontrol
2020-03-18,SBI major event 12,Negative,7,Bloomberg
2020-03-25,SBI major event 13,Negative,1,Moneycontrol
2020-04-01,SBI major event 14,Neutral,3,Economic Times
2020-04-08,SBI major event 15,Negative,10,Bloomberg
2020-04-15,SBI major event 16,Positive,8,Economic Times
2020-04-22,SBI major event 17,Neutral,1,Moneycontrol
2020-04-29,SBI major event 18,Negative,8,Moneycontrol
2020-05-06,SBI major event 19,Negative,3,Reuters
2020-05-13,SBI major event 20,Negative,3,Economic Times
2020-05-20,SBI major event 21,Neutral,1,Moneycontrol
2020-05-27,SBI major event 22,Neutral,5,Economic Times
2020-06-03,SBI major event 23,Negative,4,Moneycontrol
2020-06-10,SBI major event 24,Neutral,6,Bloomberg
2020-06-17,SBI major event 25,Negative,4,Economic Times
2020-06-24,SBI major event 26,Neutral,8,Moneycontrol
2020-07-01,SBI major event 27,Neutral,9,Reuters
2020-07-08,SBI major event 28,Negative,5,Moneycontrol
2020-07-15,SBI major event 29,Neutral,9,Economic Times
2020-07-22,SBI major event 30,Positive,4,Reuters
2020-07-29,SBI major event 31,Neutral,8,Economic Times
2020-08-05,SBI major event 32,Positive,9,Moneycontrol
2020-08-12,SBI major event 33,Negative,4,Bloomberg
2020-08-19,SBI major event 34,Positive,10,Reuters
2020-08-26,SBI major event 35,Positive,1,Economic Times
2020-09-02,SBI major event 36,Neutral,9,Economic Times
2020-09-09,SBI major event 37,Positive,7,Economic Times
2020-09-16,SBI major event 38,Neutral,2,Bloomberg
2020-09-23,SBI major event 39,Neutral,3,Bloomberg
2020-09-30,SBI major event 40,Neutral,1,Economic Times
2020-10-07,SBI major event 41,Neutral,4,Bloomberg
2020-10-14,SBI major event 42,Positive,4,Reuters
2020-10-21,SBI major event 43,Negative,1,Reuters
2020-10-28,SBI major event 44,Positive,10,Moneycontrol
2020-11-04,SBI major event 45,Neutral,1,Reuters
2020-11-11,SBI major event 46,Neutral,6,Moneycontrol
2020-11-18,SBI major event 47,Positive,9,Economic Times
2020-11-25,SBI major event 48,Neutral,1,Moneycontrol
2020-12-02,SBI major event 49,Neutral,6,Bloomberg
2020-12-09,SBI major event 50,Neutral,2,Moneycontrol
2020-12-16,SBI major event 51,Neutral,3,Economic Times
2020-12-23,SBI major event 52,Negative,9,Bloomberg
2020-12-30,SBI major event 53,Negative,8,Moneycontrol
2021-01-06,SBI major event 54,Neutral,2,Reuters
2021-01-13,SBI major event 55,Negative,7,Bloomberg
2021-01-20,SBI major event 56,Negative,7,Economic Times
2021-01-27,SBI major event 57,Positive,8,Bloomberg
2021-02-03,SBI major event 58,Negative,9,Bloomberg
2021-02-10,SBI major event 59,Positive,9,Moneycontrol
2021-02-17,SBI major event 60,Positive,2,Moneycontrol
2021-02-24,SBI major event 61,Negative,9,Economic Times
2021-03-03,SBI major event 62,Neutral,7,Bloomberg
2021-03-10,SBI major event 63,Negative,6,Moneycontrol
2021-03-17,SBI major event 64,Negative,2,Reuters
2021-03-24,SBI major event 65,Negative,9,Economic Times
2021-03-31,SBI major event 66,Negative,1,Economic Times
2021-04-07,SBI major event 67,Negative,2,Bloomberg
2021-04-14,SBI major event 68,Neutral,4,Moneycontrol
2021-04-21,SBI major event 69,Negative,6,Moneycontrol
2021-04-28,SBI major event 70,Neutral,1,Moneycontrol
2021-05-05,SBI major event 71,Negative,10,Bloomberg
2021-05-12,SBI major event 72,Neutral,8,Moneycontrol
2021-05-19,SBI major event 73,Positive,2,Moneycontrol
2021-05-26,SBI major event 74,Positive,1,Reuters
