Date,Headline,Sentiment,Impact,Source
2020-01-01,TCS major event 1,Positive,7,Moneycontrol
2020-01-08,TCS major event 2,Negative,1,Bloomberg
2020-01-15,TCS major event 3,Positive,7,Economic Times
2020-01-22,TCS major event 4,Positive,1,Economic Times
2020-01-29,TCS major event 5,Negative,2,Economic Times
2020-02-05,TCS major event 6,Positive,7,Economic Times
2020-02-12,TCS major event 7,Neutral,7,Moneycontrol
2020-02-19,TCS major event 8,Neutral,1,Reuters
2020-02-26,TCS major event 9,Neutral,5,Bloomberg
2020-03-04,TCS major event 10,Positive,4,Bloomberg
2020-03-11,TCS major event 11,Negative,3,Moneycontrol
2020-03-18,TCS major event 12,Neutral,4,Economic Times
2020-03-25,TCS major event 13,Neutral,10,Reuters
2020-04-01,TCS major event 14,Positive,1,Moneycontrol
2020-04-08,TCS major event 15,Neutral,9,Bloomberg
2020-04-15,TCS major event 16,Neutral,2,Moneycontrol
2020-04-22,TCS major event 17,Positive,2,Bloomberg
2020-04-29,TCS major event 18,Negative,1,Moneycontrol
2020-05-06,TCS major event 19,Negative,10,Moneycontrol
2020-05-13,TCS major event 20,Negative,6,Moneycontrol
2020-05-20,TCS major event 21,Negative,7,Moneycontrol
2020-05-27,TCS major event 22,Positive,6,Bloomberg
2020-06-03,TCS major event 23,Positive,10,Moneycontrol
2020-06-10,TCS major event 24,Positive,3,Reuters
2020-06-17,TCS major event 25,Negative,5,Bloomberg
2020-06-24,TCS major event 26,Neutral,8,Economic Times
2020-07-01,TCS major event 27,Neutral,5,Reuters
2020-07-08,TCS major event 28,Negative,7,Reuters
2020-07-15,TCS major event 29,Positive,3,Moneycontrol
2020-07-22,TCS major event 30,Negative,10,Economic Times
2020-07-29,TCS major event 31,Negative,8,Moneycontrol
2020-08-05,TCS major event 32,Positive,9,Moneycontrol
2020-08-12,TCS major event 33,Negative,5,Reuters
2020-08-19,TCS major event 34,Positive,7,Economic Times
2020-08-26,TCS major event 35,Positive,8,Reuters
2020-09-02,TCS major event 36,Positive,8,Bloomberg
2020-09-09,TCS major event 37,Positive,1,Bloomberg
2020-09-16,TCS major event 38,Negative,8,Economic Times
2020-09-23,TCS major event 39,Positive,4,Moneycontrol
2020-09-30,TCS major event 40,Positive,10,Economic Times
2020-10-07,TCS major event 41,Neutral,4,Bloomberg
2020-10-14,TCS major event 42,Negative,4,Reuters
2020-10-21,TCS major event 43,Neutral,7,Bloomberg
2020-10-28,TCS major event 44,Neutral,5,Reuters
2020-11-04,TCS major event 45,Negative,10,Bloomberg
2020-11-11,TCS major event 46,Positive,1,Bloomberg
2020-11-18,TCS major event 47,Neutral,1,Bloomberg
2020-11-25,TCS major event 48,Neutral,9,Reuters
2020-12-02,TCS major event 49,Neutral,10,Moneycontrol
2020-12-09,TCS major event 50,Negative,5,Moneycontrol
2020-12-16,TCS major event 51,Neutral,5,Reuters
2020-12-23,TCS major event 52,Positive,8,Moneycontrol
2020-12-30,TCS major event 53,Neutral,8,Bloomberg
2021-01-06,TCS major event 54,Negative,4,Moneycontrol
2021-01-13,TCS major event 55,Negative,5,Economic Times
